525103,525011,"Moonraker",1979,"Lewis Gilbert","Roger","Moore"
525106,525011,"Moonraker",1979,"Lewis Gilbert","Bernard","Lee"
525109,525011,"Moonraker",1979,"Lewis Gilbert","Lois","Maxwell"
525112,525011,"Moonraker",1979,"Lewis Gilbert","Desmond","Llewelyn"
525103,525012,"For Your Eyes Only",1981,"John Glen","Roger","Moore"
525109,525012,"For Your Eyes Only",1981,"John Glen","Lois","Maxwell"
525112,525012,"For Your Eyes Only",1981,"John Glen","Desmond","Llewelyn"
525103,525013,"Octopussy",1983,"John Glen","Roger","Moore"
525107,525013,"Octopussy",1983,"John Glen","Robert","Brown"
525109,525013,"Octopussy",1983,"John Glen","Lois","Maxwell"
525112,525013,"Octopussy",1983,"John Glen","Desmond","Llewelyn"
525103,525014,"A View to a Kill",1985,"John Glen","Roger","Moore"
525107,525014,"A View to a Kill",1985,"John Glen","Robert","Brown"
525109,525014,"A View to a Kill",1985,"John Glen","Lois","Maxwell"
525112,525014,"A View to a Kill",1985,"John Glen","Desmond","Llewelyn"
525107,525015,"The Living Daylights",1987,"John Glen","Robert","Brown"
525110,525015,"The Living Daylights",1987,"John Glen","Caroline","Bliss"
525112,525015,"The Living Daylights",1987,"John Glen","Desmond","Llewelyn"
631012,525015,"The Living Daylights",1987,"John Glen","Timothy","Dalton"
525107,525016,"Licence to Kill",1989,"John Glen","Robert","Brown"
525110,525016,"Licence to Kill",1989,"John Glen","Caroline","Bliss"
525112,525016,"Licence to Kill",1989,"John Glen","Desmond","Llewelyn"
631012,525016,"Licence to Kill",1989,"John Glen","Timothy","Dalton"
525105,525017,"GoldenEye",1995,"Martin Campbell","Pierce","Brosnan"
525108,525017,"GoldenEye",1995,"Martin Campbell","Judi","Dench"
525111,525017,"GoldenEye",1995,"Martin Campbell","Samantha","Bond"
525112,525017,"GoldenEye",1995,"Martin Campbell","Desmond","Llewelyn"
525105,525018,"Tomorrow Never Dies",1997,"Roger Spottiswoode","Pierce","Brosnan"
525108,525018,"Tomorrow Never Dies",1997,"Roger Spottiswoode","Judi","Dench"
525111,525018,"Tomorrow Never Dies",1997,"Roger Spottiswoode","Samantha","Bond"
525112,525018,"Tomorrow Never Dies",1997,"Roger Spottiswoode","Desmond","Llewelyn"
525105,525019,"The World is Not Enough",1999,"Michael Apted","Pierce","Brosnan"
525108,525019,"The World is Not Enough",1999,"Michael Apted","Judi","Dench"
525111,525019,"The World is Not Enough",1999,"Michael Apted","Samantha","Bond"
525112,525019,"The World is Not Enough",1999,"Michael Apted","Desmond","Llewelyn"
525113,525019,"The World is Not Enough",1999,"Michael Apted","John","Cleese"
525105,525020,"Die Another Day",2002,"Lee Tamahori","Pierce","Brosnan"
525108,525020,"Die Another Day",2002,"Lee Tamahori","Judi","Dench"
525111,525020,"Die Another Day",2002,"Lee Tamahori","Samantha","Bond"
525113,525020,"Die Another Day",2002,"Lee Tamahori","John","Cleese"
631001,631001,"Roman Holiday",1953,"William Wyler","Gregory","Peck"
631002,631001,"Roman Holiday",1953,"William Wyler","Audrey","Hepburn"
631002,631002,"Breakfast at Tiffany's",1961,"Blake Edwards","Audrey","Hepburn"
631015,631002,"Breakfast at Tiffany's",1961,"Blake Edwards","George","Peppard"
631016,631002,"Breakfast at Tiffany's",1961,"Blake Edwards","Patricia","Neal"
631017,631002,"Breakfast at Tiffany's",1961,"Blake Edwards","Buddy","Ebsen"
631018,631002,"Breakfast at Tiffany's",1961,"Blake Edwards","Mickey","Rooney"
631003,631003,"Anna and the King",1999,"Andy Tennant","Jodie","Foster"
631004,631003,"Anna and the King",1999,"Andy Tennant","Yun-Fat","Chow"
631005,631004,"Gone with the Wind",1939,"Victor Flemming, George Cukor, Sam Wood","Clark","Gable"
631006,631004,"Gone with the Wind",1939,"Victor Flemming, George Cukor, Sam Wood","Vivien","Leigh"
631007,631005,"Home Alone",1990,"Chris Columbus","Macaulay","Culkin"
631007,631006,"Home Alone 2: Lost in New York",1992,"Chris Columbus","Macaulay","Culkin"
631008,631008,"City Light",1931,"Charles Chaplin","Charles","Chaplin"
631011,631009,"Shogun",1980,"Jerry London","Richard","Chamberlain"
631012,631010,"License To Kill",1989,"John Glen","Timothy","Dalton"
634002,634002,"The Matrix Reloaded",2003,"Wachowski Brothers","Laurence ","Fishburne"
634005,634002,"The Matrix Reloaded",2003,"Wachowski Brothers","Hugo","Weaving"
755010,634002,"The Matrix Reloaded",2003,"Wachowski Brothers","Keanu","Reeves"
634002,634003,"The Matrix Revolutions",2003,"Wachowski Brothers","Laurence ","Fishburne"
634005,634003,"The Matrix Revolutions",2003,"Wachowski Brothers","Hugo","Weaving"
755010,634003,"The Matrix Revolutions",2003,"Wachowski Brothers","Keanu","Reeves"
634003,634004,"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson","Orlando","Bloom"
634004,634004,"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson","Liv","Tyler"
634005,634004,"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson","Hugo","Weaving"
634006,634004,"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson","Viggo","Mortensen"
634007,634004,"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson","Ian","McKellen"
634008,634004,"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson","Elijah","Wood"
693104,634004,"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson","Sean","Astin"
634003,634005,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Orlando","Bloom"
634004,634005,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Liv","Tyler"
634005,634005,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Hugo","Weaving"
634006,634005,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Viggo","Mortensen"
634007,634005,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Ian","McKellen"
634008,634005,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Elijah","Wood"
634003,634006,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Orlando","Bloom"
634004,634006,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Liv","Tyler"
634005,634006,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Hugo","Weaving"
634006,634006,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Viggo","Mortensen"
634007,634006,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Ian","McKellen"
634008,634006,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Elijah","Wood"
634011,634007,"Crouching Tiger Hidden Dragon",2000,"Ang Lee","Zhang","Ziyi"
412005,634009,"Ocean's Eleven",2001,"Steven Soderbergh","Andy","Garcia"
693103,634009,"Ocean's Eleven",2001,"Steven Soderbergh","Brad","Pitt"
693109,634009,"Ocean's Eleven",2001,"Steven Soderbergh","Catherine","Zeta-Jones"
788006,634009,"Ocean's Eleven",2001,"Steven Soderbergh","Matt","Damon"
855105,634009,"Ocean's Eleven",2001,"Steven Soderbergh","Julia","Roberts"
855106,634009,"Ocean's Eleven",2001,"Steven Soderbergh","Brad","Pitt"
855108,634009,"Ocean's Eleven",2001,"Steven Soderbergh","George","Clooney"
658008,658001,"Titanic",1997,"James Cameron","Kate","Winslet"
693100,658001,"Titanic",1997,"James Cameron","Leonardo","DiCaprio"
658007,658003,"American Beauty",1999,"Sam Mendes","Thora","Birch"
658013,658003,"American Beauty",1999,"Sam Mendes","Mena","Suvari"
658012,658004,"Shakespeare in Love",1998,"John Madden","Joesph","Fiennes"
658010,658006,"Mystic River",2003,"Clint Eastwood","Sean","Penn"
658018,658006,"Mystic River",2003,"Clint Eastwood","Emmy","Rossum"
658019,658006,"Mystic River",2003,"Clint Eastwood","Tim","Robbins"
693100,658008,"Catch Me If You Can",2002,"Steven Spielberg","Leonardo","DiCaprio"
788010,658008,"Catch Me If You Can",2002,"Steven Spielberg","Tom","Hanks"
658001,658009,"8 Mile",2002,"Curtis Hanson","none","Eminem"
764014,671001,"Alien",1979,"Ridley Scott","Sigourney","Weaver"
764014,671002,"Aliens",1986,"James Cameron","Sigourney","Weaver"
764014,671003,"Alien3",1992,"David Fincher","Sigourney","Weaver"
755006,671004,"Bowling for Columbine",2002,"Michael Moore","Michael","Moore"
671103,671006,"Braveheart",1995,"Mel Gibson","Mel","Gibson"
788010,671007,"Saving Private Ryan",1998,"Steven Spielberg","Tom","Hanks"
671105,671009,"The Mask",1994,"Chuck Russell","Jim","Carrey"
788006,671010,"Dogma",1999,"Kevin Smith","Matt","Damon"
671107,671011,"Starship Troopers",1997,"Paul Verhoeven","Casper","Van Dien"
693116,671013,"Men In Black",1997,"Barry Sonnenfeld","Will","Smith"
693116,671014,"Men in Black II",2002,"Barry Sonnenfeld","Will","Smith"
671109,671015,"The Mummy",1999,"Stephen Sommers","Brendan","Fraser"
671109,671016,"The Mummy Returns",2001,"Stephen Sommers","Brendan","Fraser"
671109,671017,"Blast From the Past",1999,"Hugh Wilson","Brendan","Fraser"
755003,671019,"Indiana Jones and the Temple of Doom",1984,"Steven Spielberg","Harrison","Ford"
525101,671020,"Indiana Jones and the Last Crusade",1989,"Steven Spielberg","Sean","Connery"
755003,671020,"Indiana Jones and the Last Crusade",1989,"Steven Spielberg","Harrison","Ford"
631009,683001,"The Godfather",1972,"Francis Ford Coppola","Marlon","Brando"
631010,683001,"The Godfather",1972,"Francis Ford Coppola","Diane","Keaton"
631014,683001,"The Godfather",1972,"Francis Ford Coppola","James","Caan"
683001,683001,"The Godfather",1972,"Francis Ford Coppola","Al","Pacino"
683002,683001,"The Godfather",1972,"Francis Ford Coppola","Marlon","Brando"
683001,683002,"Scarface",1983,"Brian De Palma","Al","Pacino"
683013,683002,"Scarface",1983,"Brian De Palma","Michelle","Pfeiffer"
683014,683002,"Scarface",1983,"Brian De Palma","Steven","Bauer"
140012,683003,"Boiler Room",2000,"Ben Younger","Giovanni","Ribsi"
140014,683003,"Boiler Room",2000,"Ben Younger","Scott","Caan"
140016,683003,"Boiler Room",2000,"Ben Younger","Nia","Long"
140017,683003,"Boiler Room",2000,"Ben Younger","Nicky","Katt"
683003,683003,"Boiler Room",2000,"Ben Younger","Giovanni","Ribisi"
683008,683003,"Boiler Room",2000,"Ben Younger","Vin","Diesel"
683004,683004,"Driven",2001,"Renny Harlin","Sylvester","Stallone"
683018,683004,"Driven",2001,"Renny Harlin","Gina","Gershon"
683019,683004,"Driven",2001,"Renny Harlin","Estella","Warren"
